Year,Month,Month_Name,Monitoring_Station,City,Days_in_Month,AQI_Mean,AQI_Median,AQI_Min,AQI_Max,AQI_Std,PM2.5_Mean,PM10_Mean,NO₂_Mean,SO₂_Mean,CO_Mean,O₃_Mean,NH₃_Mean,Temp_Mean,Humidity_Mean,Wind_Speed_Mean,Rainfall_Total,Most_Common_Category,Days_Good,Days_Satisfactory,Days_Moderate,Days_Poor,Days_Very_Poor,Days_Severe
2015,3,March,Dwarka,Delhi,31,148.1,138.6,94.1,226.7,35.4,50.5,226.8,59.6,29.7,1.47,73.8,294.8,34.5,51.8,8.8,0.4,Moderate,0,2,25,3,0,1
2015,3,March,ITO,Delhi,31,146.4,146.1,14.9,213.2,40.3,49.2,225.1,58.2,29.0,1.46,72.4,295.0,36.0,49.6,8.6,0.8,Moderate,1,2,27,1,0,0
2015,3,March,Jahangirpuri,Delhi,31,137.8,142.0,45.1,204.8,43.3,48.4,212.2,54.8,27.5,1.39,70.6,278.2,35.5,50.6,7.6,0.0,Moderate,2,5,23,1,0,0
2015,3,March,Lodhi Road,Delhi,31,123.8,126.2,41.8,228.9,37.1,43.8,192.3,50.1,25.5,1.21,62.6,244.0,36.6,45.3,8.0,1.3,Moderate,1,7,21,1,0,1
2015,3,March,Mandir Marg,Delhi,31,109.1,116.0,41.1,202.7,36.9,37.8,169.5,43.9,21.5,1.1,53.3,215.4,35.9,50.9,7.6,0.7,Moderate,3,8,19,1,0,0
2015,3,March,Punjabi Bagh,Delhi,31,133.2,141.8,54.2,206.9,37.9,48.9,207.1,53.9,26.2,1.31,67.4,268.0,35.5,49.0,8.2,0.1,Moderate,0,8,22,1,0,0
2015,3,March,RK Puram,Delhi,31,130.9,128.5,73.2,186.7,29.8,44.9,200.5,53.0,26.2,1.31,66.1,267.0,35.4,49.6,7.8,0.4,Moderate,0,4,25,0,0,2
2015,4,April,Anand Vihar,Delhi,30,145.0,139.7,62.6,221.3,37.3,50.9,222.1,58.7,29.0,1.46,71.2,289.0,38.4,50.2,7.4,0.0,Moderate,0,3,24,3,0,0
2015,4,April,Bawana,Delhi,30,157.3,153.8,60.0,218.8,41.0,55.5,243.2,63.1,31.3,1.57,77.0,311.2,34.6,50.6,8.0,0.0,Moderate,0,3,22,5,0,0
2015,4,April,DTU,Delhi,30,117.3,113.0,45.9,198.2,36.3,42.6,178.2,46.7,23.3,1.19,58.3,232.7,35.0,54.7,8.0,0.0,Moderate,1,11,18,0,0,0
2015,4,April,Dwarka,Delhi,30,120.3,116.6,66.0,246.5,35.9,42.3,184.8,48.2,24.1,1.22,58.7,235.2,36.7,51.6,7.7,0.4,Moderate,0,7,22,1,0,0
2015,4,April,ITO,Delhi,30,131.0,129.6,54.3,218.2,37.2,47.0,202.9,52.5,26.6,1.32,64.6,267.5,33.6,53.0,8.3,1.2,Moderate,0,3,25,2,0,0
2015,4,April,Jahangirpuri,Delhi,30,137.3,138.4,86.7,204.8,27.8,47.8,214.3,54.0,28.7,1.38,68.9,269.5,34.9,50.4,8.6,0.0,Moderate,0,2,27,1,0,0
2015,4,April,Lodhi Road,Delhi,30,120.9,127.8,72.8,147.9,19.9,42.8,187.2,48.3,23.7,1.21,60.9,239.2,34.7,53.4,8.5,0.0,Moderate,0,5,25,0,0,0
2015,4,April,Mandir Marg,Delhi,30,103.5,106.0,41.2,149.7,26.3,37.4,161.0,41.5,20.0,1.06,51.5,211.4,33.9,53.9,7.9,0.0,Moderate,2,9,18,0,0,1
2015,4,April,Punjabi Bagh,Delhi,30,115.8,120.0,55.5,192.8,32.7,41.4,177.7,46.6,23.4,1.15,58.3,234.3,35.3,50.2,8.8,0.0,Moderate,0,10,20,0,0,0
2015,4,April,RK Puram,Delhi,30,112.7,112.2,59.5,195.1,31.5,40.5,174.0,44.7,21.9,1.13,54.4,229.3,36.2,49.4,8.1,0.0,Moderate,0,9,21,0,0,0
2015,5,May,Anand Vihar,Delhi,31,144.9,149.9,73.0,215.0,35.4,50.3,221.4,58.4,29.6,1.46,72.6,289.3,35.2,54.2,8.1,0.0,Moderate,0,5,25,1,0,0
2015,5,May,Bawana,Delhi,31,149.3,145.7,63.1,267.9,43.9,52.0,233.3,59.6,29.7,1.47,75.0,296.0,35.4,47.9,8.5,0.0,Moderate,0,2,25,3,0,1
2015,5,May,DTU,Delhi,31,125.9,123.7,63.1,195.6,34.6,43.9,194.9,50.7,24.4,1.24,63.2,253.4,35.5,48.4,8.3,0.4,Moderate,0,7,24,0,0,0
2015,5,May,Dwarka,Delhi,31,129.4,131.4,52.5,189.7,36.3,45.5,196.1,51.2,26.0,1.28,64.0,255.5,33.2,52.5,8.1,0.6,Moderate,0,5,25,0,0,1
2015,5,May,ITO,Delhi,31,128.5,130.5,62.6,216.1,37.2,44.5,197.0,50.7,24.8,1.29,64.0,258.8,35.6,50.8,8.0,0.0,Moderate,0,7,23,1,0,0
2015,5,May,Jahangirpuri,Delhi,31,121.3,124.5,29.8,217.8,37.9,43.9,190.5,48.1,24.6,1.22,61.4,243.7,35.1,50.1,8.0,0.0,Moderate,1,7,22,1,0,0
2015,5,May,Lodhi Road,Delhi,31,105.2,101.9,43.9,186.0,35.4,37.9,163.8,41.4,20.6,1.03,52.9,214.4,34.3,50.7,8.1,0.0,Moderate,2,12,17,0,0,0
2015,5,May,Mandir Marg,Delhi,31,112.2,116.2,57.7,205.9,29.8,38.6,171.6,45.1,22.7,1.1,56.1,221.7,33.7,50.9,7.5,0.0,Moderate,0,11,18,1,0,1
2015,5,May,Punjabi Bagh,Delhi,31,126.7,126.2,69.1,219.2,35.8,45.4,200.1,51.0,25.4,1.25,61.4,255.0,34.8,50.7,8.4,0.0,Moderate,0,6,24,1,0,0
2015,5,May,RK Puram,Delhi,31,116.9,113.5,56.4,178.0,27.9,40.4,178.3,46.6,23.7,1.18,56.2,227.3,34.6,49.6,8.3,0.2,Moderate,0,6,23,0,0,2
2015,6,June,Anand Vihar,Delhi,30,94.6,89.4,42.6,175.1,32.4,32.7,142.5,37.3,18.5,0.94,46.5,189.0,27.6,74.3,4.3,192.6,Satisfactory,3,16,10,0,0,1
2015,6,June,Bawana,Delhi,30,93.2,92.0,46.1,148.6,28.4,32.5,144.3,37.4,18.7,0.93,45.2,183.2,27.8,74.1,4.3,118.7,Satisfactory,3,15,11,0,0,1
2015,6,June,DTU,Delhi,30,88.8,81.9,58.9,149.4,24.5,30.9,136.9,35.0,17.5,0.86,43.1,179.7,29.7,72.2,4.1,128.0,Satisfactory,0,22,7,0,0,1
2015,6,June,Dwarka,Delhi,30,81.5,76.4,52.7,141.9,24.6,28.3,126.0,32.2,16.4,0.81,39.6,154.4,26.8,75.0,4.2,164.5,Satisfactory,0,22,8,0,0,0
2015,6,June,ITO,Delhi,30,93.0,89.0,43.8,134.1,22.9,33.3,141.9,37.0,18.7,0.94,46.6,185.5,29.0,76.0,4.1,132.9,Satisfactory,1,18,11,0,0,0
2015,6,June,Jahangirpuri,Delhi,30,86.9,85.3,39.3,159.1,26.8,30.0,135.7,35.9,16.9,0.86,41.0,173.1,28.3,71.7,4.0,203.3,Satisfactory,3,16,9,0,0,2
2015,6,June,Lodhi Road,Delhi,30,76.3,73.3,14.1,122.8,25.5,26.4,116.7,30.3,14.9,0.77,39.1,157.2,28.9,74.8,4.2,127.7,Satisfactory,3,21,5,0,0,1
2015,6,June,Mandir Marg,Delhi,30,70.8,69.1,31.6,116.7,22.1,25.3,109.6,28.1,13.8,0.7,37.4,145.0,28.5,73.0,4.0,132.6,Satisfactory,5,21,3,0,0,1
2015,6,June,Punjabi Bagh,Delhi,30,76.5,78.4,26.1,127.0,22.0,27.1,119.0,31.8,15.2,0.75,39.0,155.7,28.5,75.0,3.8,142.7,Satisfactory,3,22,4,0,0,1
2015,6,June,RK Puram,Delhi,30,78.2,76.2,32.2,123.9,20.6,28.0,120.9,31.2,15.7,0.8,40.4,157.7,27.9,78.2,4.5,90.3,Satisfactory,2,24,4,0,0,0
2015,7,July,Anand Vihar,Delhi,31,91.1,90.0,18.5,152.2,30.0,32.0,138.0,36.7,18.2,0.91,45.1,183.4,29.2,77.7,4.0,159.6,Satisfactory,2,16,12,0,0,1
2015,7,July,Bawana,Delhi,31,87.6,94.1,0.0,139.5,37.8,32.4,135.1,36.0,17.1,0.89,45.6,179.2,28.4,77.1,3.8,152.7,Moderate,5,11,14,0,0,1
2015,7,July,DTU,Delhi,31,80.1,74.9,32.8,135.3,28.7,27.3,123.9,32.3,15.5,0.77,40.0,160.4,27.4,74.9,4.1,170.2,Satisfactory,4,19,8,0,0,0
2015,7,July,Dwarka,Delhi,31,84.2,82.6,23.7,149.9,32.5,28.7,131.6,33.8,17.2,0.85,41.9,167.0,26.9,75.7,4.2,101.4,Satisfactory,5,16,10,0,0,0
2015,7,July,ITO,Delhi,31,95.6,94.3,46.3,160.5,26.5,33.9,147.4,38.4,18.5,0.93,46.2,195.7,27.5,74.4,4.4,144.6,Satisfactory,1,16,13,0,0,1
2015,7,July,Jahangirpuri,Delhi,31,86.1,87.4,44.8,142.2,23.2,31.3,133.6,34.7,17.2,0.88,44.7,166.9,29.0,75.5,3.9,146.9,Satisfactory,1,22,8,0,0,0
2015,7,July,Lodhi Road,Delhi,31,78.0,79.5,28.6,127.7,26.6,27.5,119.9,31.2,15.7,0.76,38.5,150.0,28.3,77.4,4.4,131.4,Satisfactory,4,19,7,0,0,1
2015,7,July,Mandir Marg,Delhi,31,77.0,76.2,37.1,115.6,21.5,27.6,120.4,31.0,15.9,0.79,39.0,149.4,27.0,76.5,3.6,146.3,Satisfactory,6,20,5,0,0,0
2015,7,July,Punjabi Bagh,Delhi,31,82.4,82.4,49.7,123.3,19.7,29.2,127.5,31.7,16.4,0.8,41.1,167.9,27.7,74.2,4.0,161.0,Satisfactory,1,23,7,0,0,0
2015,7,July,RK Puram,Delhi,31,75.3,73.3,31.2,120.9,26.0,27.2,113.6,30.5,15.5,0.74,37.4,149.9,28.4,76.1,4.2,200.2,Satisfactory,7,15,7,0,0,2
2015,8,August,Anand Vihar,Delhi,31,92.8,93.4,53.3,151.3,23.5,31.5,146.8,36.6,18.6,0.93,46.2,188.2,27.6,73.9,3.9,148.5,Satisfactory,0,20,9,0,0,2
2015,8,August,Bawana,Delhi,31,92.1,94.6,20.5,134.7,25.8,32.8,140.7,36.6,18.5,0.92,45.9,185.4,27.2,76.8,4.0,183.8,Satisfactory,3,17,10,0,0,1
2015,8,August,DTU,Delhi,31,86.4,80.3,40.6,157.0,31.2,31.8,134.1,33.6,17.1,0.83,43.0,175.3,27.0,74.5,4.3,196.2,Satisfactory,2,19,9,0,0,1
2015,8,August,Dwarka,Delhi,31,86.3,82.1,38.6,148.9,26.6,29.9,132.8,34.4,17.4,0.89,41.8,168.0,28.6,73.9,4.3,124.9,Satisfactory,3,18,10,0,0,0
2015,8,August,ITO,Delhi,31,88.0,91.8,30.2,122.5,23.3,30.6,135.7,36.2,17.9,0.87,44.4,176.9,27.9,75.5,3.6,179.3,Satisfactory,2,20,8,0,0,1
2015,8,August,Jahangirpuri,Delhi,31,81.8,76.5,36.8,140.5,27.3,29.1,123.8,33.6,16.3,0.81,41.4,162.5,27.4,77.0,4.1,175.3,Satisfactory,5,17,9,0,0,0
2015,8,August,Lodhi Road,Delhi,31,79.1,80.8,38.6,122.6,22.4,26.9,122.7,32.7,15.3,0.8,38.3,162.0,27.2,74.0,3.9,141.0,Satisfactory,5,22,4,0,0,0
2015,8,August,Mandir Marg,Delhi,31,59.2,61.3,19.2,101.6,21.8,19.4,90.4,24.3,11.0,0.58,29.6,113.1,28.3,74.5,3.5,136.7,Satisfactory,11,18,2,0,0,0
2015,8,August,Punjabi Bagh,Delhi,31,74.6,73.2,31.9,129.7,28.2,25.1,113.9,29.9,14.7,0.76,38.7,146.4,29.0,77.6,3.8,195.0,Satisfactory,8,15,7,0,0,1
2015,8,August,RK Puram,Delhi,31,73.9,75.7,28.4,119.2,22.5,25.4,114.8,29.7,15.2,0.74,36.3,147.3,28.4,74.2,3.9,144.8,Satisfactory,5,23,3,0,0,0
2015,9,September,Anand Vihar,Delhi,30,94.0,97.6,46.0,143.7,23.2,33.9,144.3,36.6,18.5,0.95,48.0,188.8,28.5,71.6,4.1,151.1,Moderate,1,13,14,0,0,2
2015,9,September,Bawana,Delhi,30,97.7,98.6,41.0,148.5,31.5,33.5,149.2,39.1,19.0,1.0,49.1,200.0,28.9,75.9,3.9,117.0,Moderate,2,13,15,0,0,0
2015,9,September,DTU,Delhi,30,79.4,79.1,37.4,127.6,26.6,27.1,123.0,31.7,15.7,0.78,39.1,155.3,29.1,74.4,3.8,169.1,Satisfactory,4,18,6,0,0,2
2015,9,September,Dwarka,Delhi,30,85.4,85.1,38.5,131.3,24.7,30.2,129.7,34.0,16.4,0.87,42.2,166.6,27.0,74.1,3.7,94.0,Satisfactory,3,19,7,0,0,1
2015,9,September,ITO,Delhi,30,85.6,89.6,23.3,118.0,21.2,30.0,132.1,34.1,17.0,0.84,43.4,174.4,27.9,73.4,4.0,169.6,Satisfactory,2,20,8,0,0,0
2015,9,September,Jahangirpuri,Delhi,30,89.8,86.2,32.3,172.3,30.4,30.5,136.8,35.6,17.8,0.84,46.0,181.5,28.2,74.6,4.0,172.1,Satisfactory,2,18,10,0,0,0
2015,9,September,Lodhi Road,Delhi,30,74.5,67.8,18.3,124.6,26.3,26.1,114.2,30.0,14.9,0.71,37.6,157.9,28.2,76.5,3.7,119.9,Satisfactory,5,17,6,0,0,2
2015,9,September,Mandir Marg,Delhi,30,77.8,78.2,36.7,103.0,16.5,27.1,121.3,31.3,15.0,0.77,39.0,150.7,27.9,72.8,3.5,218.3,Satisfactory,2,24,2,0,0,2
2015,9,September,Punjabi Bagh,Delhi,30,84.9,87.1,40.7,144.9,23.8,29.4,131.1,33.6,17.4,0.87,42.2,165.8,28.4,76.2,3.9,135.3,Satisfactory,3,19,8,0,0,0
2015,9,September,RK Puram,Delhi,30,77.5,73.4,25.1,127.1,25.9,26.8,118.5,30.7,14.5,0.75,38.0,160.5,29.0,75.3,3.7,172.8,Satisfactory,5,19,6,0,0,0
2015,10,October,Anand Vihar,Delhi,31,211.9,184.0,114.0,368.7,70.8,74.8,328.2,84.8,42.6,2.16,107.2,430.2,29.2,50.0,4.2,0.0,Moderate,0,0,16,11,4,0
2015,10,October,Bawana,Delhi,31,204.6,178.8,92.8,404.5,90.0,71.3,313.6,81.8,41.5,2.03,102.4,409.7,27.9,51.8,4.5,0.7,Moderate,0,1,19,4,5,2
2015,10,October,DTU,Delhi,31,184.1,158.2,0.0,338.0,82.6,65.1,281.0,74.5,37.1,1.85,92.9,371.2,28.9,49.1,4.0,0.2,Moderate,1,1,18,7,4,0
2015,10,October,Dwarka,Delhi,31,184.9,183.2,68.6,326.5,67.5,64.3,286.7,75.0,37.0,1.87,92.6,370.8,28.2,48.5,4.0,0.0,Moderate,0,1,20,7,3,0
2015,10,October,ITO,Delhi,31,206.5,186.9,74.2,441.9,80.6,73.3,320.2,81.4,40.8,2.05,104.2,413.5,27.6,47.1,4.0,0.8,Moderate,0,1,18,7,4,1
2015,10,October,Jahangirpuri,Delhi,31,207.4,198.0,100.4,373.3,76.2,71.3,321.0,83.1,41.6,2.08,103.9,414.9,27.3,51.5,4.5,0.0,Moderate,0,0,14,11,4,2
2015,10,October,Lodhi Road,Delhi,31,162.4,148.4,57.3,347.6,60.4,57.3,250.0,65.4,32.7,1.64,81.5,328.8,28.2,51.2,4.3,0.1,Moderate,0,3,22,5,1,0
2015,10,October,Mandir Marg,Delhi,31,160.6,149.7,68.1,289.3,56.6,57.0,248.6,64.7,31.9,1.63,80.9,321.4,26.0,47.7,4.3,0.0,Moderate,0,4,20,7,0,0
2015,10,October,Punjabi Bagh,Delhi,31,177.5,160.6,74.6,323.0,70.4,62.1,272.6,71.2,35.6,1.78,89.8,355.2,28.4,49.7,4.0,1.1,Moderate,0,4,16,9,2,0
2015,10,October,RK Puram,Delhi,31,176.4,174.7,91.0,291.9,52.6,60.1,272.7,70.2,35.9,1.76,88.8,353.5,28.5,47.6,3.9,0.5,Moderate,0,2,20,9,0,0
2015,11,November,Anand Vihar,Delhi,30,185.2,193.2,64.8,259.2,42.2,64.6,285.3,73.7,37.2,1.84,91.0,371.9,28.7,51.1,4.1,0.0,Moderate,0,1,17,12,0,0
2015,11,November,Bawana,Delhi,30,165.2,168.2,25.0,278.7,55.7,57.5,256.7,65.2,32.5,1.6,82.8,329.2,28.3,48.8,3.7,0.0,Moderate,1,2,21,6,0,0
2015,11,November,DTU,Delhi,30,164.5,164.2,89.6,239.2,35.0,57.2,253.4,65.8,32.7,1.63,83.7,328.4,28.6,50.1,4.3,0.6,Moderate,0,2,24,4,0,0
2015,11,November,Dwarka,Delhi,30,156.0,162.2,71.7,226.5,42.5,54.1,242.2,61.9,32.0,1.53,78.4,311.9,26.7,50.9,3.8,0.5,Moderate,0,4,22,4,0,0
2015,11,November,ITO,Delhi,30,174.0,180.0,69.6,248.9,42.7,62.6,267.8,69.5,34.3,1.76,88.3,345.1,28.7,50.0,4.1,0.7,Moderate,0,1,22,7,0,0
2015,11,November,Jahangirpuri,Delhi,30,146.1,144.4,65.9,234.6,40.0,50.2,224.8,59.1,29.2,1.47,73.7,284.1,27.3,50.7,3.6,0.6,Moderate,0,4,24,2,0,0
2015,11,November,Lodhi Road,Delhi,30,147.2,146.6,92.2,222.0,30.4,51.8,228.0,58.3,29.7,1.48,73.8,294.1,27.3,49.3,3.9,0.2,Moderate,0,1,27,2,0,0
2015,11,November,Mandir Marg,Delhi,30,140.5,143.6,71.4,196.4,26.1,49.6,218.5,55.5,28.1,1.43,69.8,281.3,27.9,50.7,4.0,0.6,Moderate,0,2,28,0,0,0
2015,11,November,Punjabi Bagh,Delhi,30,141.0,143.2,68.6,213.5,36.7,49.3,214.3,56.7,28.1,1.41,71.0,283.4,28.6,52.2,4.0,0.0,Moderate,0,6,23,1,0,0
2015,11,November,RK Puram,Delhi,30,152.3,153.8,91.6,220.3,33.8,52.0,235.5,61.8,30.6,1.54,76.8,301.3,27.7,47.6,3.7,0.0,Moderate,0,3,23,4,0,0
2015,12,December,Anand Vihar,Delhi,31,224.4,225.6,142.4,330.3,38.1,79.4,347.3,89.7,44.7,2.24,112.5,447.6,16.4,46.3,4.2,0.1,Poor,0,0,9,21,1,0
2015,12,December,Bawana,Delhi,31,254.8,258.6,161.8,350.7,44.4,89.8,391.6,101.6,50.9,2.55,128.4,510.5,14.8,46.5,4.0,0.1,Poor,0,0,3,24,4,0
2015,12,December,DTU,Delhi,31,208.5,212.6,136.4,273.0,37.7,72.5,320.2,83.6,41.5,2.07,103.9,418.3,15.6,49.2,4.0,0.2,Poor,0,0,13,17,0,1
2015,12,December,Dwarka,Delhi,31,213.6,212.2,129.5,317.7,36.5,73.1,328.4,85.3,42.5,2.16,105.9,428.5,15.1,52.1,4.5,0.0,Poor,0,0,9,20,1,1
2015,12,December,ITO,Delhi,31,230.7,228.5,109.7,331.4,53.8,80.2,354.9,92.3,46.8,2.31,116.0,461.5,15.5,50.0,4.5,0.0,Poor,0,0,11,17,3,0
2015,12,December,Jahangirpuri,Delhi,31,216.9,219.1,119.4,294.7,44.6,75.4,330.8,87.2,43.1,2.15,109.5,433.7,15.0,47.7,4.2,0.8,Poor,0,0,10,20,0,1
2015,12,December,Lodhi Road,Delhi,31,195.8,193.3,140.3,295.4,36.9,69.8,301.1,78.8,39.2,1.93,97.9,389.9,14.2,48.0,3.8,0.0,Moderate,0,0,18,13,0,0
2015,12,December,Mandir Marg,Delhi,31,185.7,192.0,102.4,267.4,36.9,66.8,287.1,74.5,36.7,1.86,93.7,368.4,14.5,48.2,3.6,0.6,Moderate,0,0,18,11,0,2
2015,12,December,Punjabi Bagh,Delhi,31,218.0,232.2,130.5,315.2,55.8,75.0,336.2,86.3,43.8,2.18,109.0,437.4,15.7,48.7,4.4,0.0,Poor,0,0,11,19,1,0
2015,12,December,RK Puram,Delhi,31,179.0,173.2,100.4,238.6,39.1,63.2,274.4,71.3,36.0,1.8,88.1,359.4,14.7,50.1,4.1,0.5,Moderate,0,0,20,10,0,1
2016,1,January,Anand Vihar,Delhi,31,236.7,221.9,156.8,342.6,47.2,80.6,365.2,95.0,46.9,2.37,117.9,475.0,14.7,51.1,3.5,0.0,Poor,0,0,8,19,4,0
2016,1,January,Bawana,Delhi,31,233.5,234.0,130.1,357.8,60.5,81.2,359.2,93.6,47.0,2.32,115.4,468.0,15.4,50.9,3.8,0.8,Poor,0,0,9,18,4,0
2016,1,January,DTU,Delhi,31,213.5,217.4,126.5,302.9,39.7,76.3,327.1,85.5,43.0,2.14,107.6,431.3,14.1,47.4,3.9,0.9,Poor,0,0,11,18,1,1
2016,1,January,Dwarka,Delhi,31,222.5,221.8,130.8,319.1,48.9,77.8,345.8,89.5,44.7,2.21,111.5,443.6,15.0,51.2,4.2,0.3,Poor,0,0,12,17,2,0
2016,1,January,ITO,Delhi,31,222.0,217.6,136.1,294.7,40.2,77.0,343.4,90.0,44.6,2.23,108.4,447.8,13.9,54.2,4.0,0.0,Poor,0,0,10,21,0,0
2016,1,January,Jahangirpuri,Delhi,31,190.9,196.9,116.5,297.0,43.9,65.9,292.8,76.5,38.0,1.89,94.8,385.3,14.8,47.0,4.3,0.0,Moderate,0,0,16,13,0,2
2016,1,January,Lodhi Road,Delhi,31,189.8,188.6,101.1,252.3,43.2,65.2,292.7,75.0,38.6,1.92,94.9,380.5,15.5,47.5,3.9,0.0,Moderate,0,0,18,13,0,0
2016,1,January,Mandir Marg,Delhi,31,174.5,170.6,95.1,279.4,42.1,59.4,270.8,69.4,34.9,1.78,85.6,353.7,15.4,51.6,4.1,0.5,Moderate,0,1,23,7,0,0
2016,1,January,Punjabi Bagh,Delhi,31,199.8,203.2,118.8,323.6,45.8,69.7,306.4,79.7,39.9,2.0,99.6,400.6,14.8,51.1,4.1,0.3,Moderate,0,0,15,15,1,0
2016,1,January,RK Puram,Delhi,31,180.2,185.1,91.0,239.3,34.4,62.6,282.1,71.9,35.5,1.81,90.8,352.9,15.3,50.1,3.8,0.0,Moderate,0,1,20,9,0,1
2016,2,February,Anand Vihar,Delhi,29,232.7,231.1,141.2,340.3,47.8,82.1,360.9,92.5,46.8,2.34,115.9,458.9,15.0,49.5,3.9,0.4,Poor,0,0,6,21,2,0
2016,2,February,Bawana,Delhi,29,246.0,255.8,173.8,318.8,38.0,86.2,383.2,98.3,49.8,2.45,123.4,494.9,14.6,47.8,4.4,0.0,Poor,0,0,5,21,2,1
